Country Name,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Argentina,875.765515620261,926.835043595619,963.646417901929,993.722768400826,1011.61103462967,1031.4847816056,1079.63006358516,1089.98998420437,1212.18233641121,1237.93912128481,1192.00801790295,1203.30831474532,1254.24067021916,1296.65274066137,1285.8604676471,1328.23490943865,1412.39621298422,1451.30484589972,1319.63280464081,1303.2185490521,1346.50272219976,1408.74042269362,1494.39096441557,1572.83418311901,1643.33025907605,1721.13868568752,1839.82168178548,1958.03875424179,2023.46157948029,2077.53957335771,2108.99040202059,2003.66751741611,2169.48754386443,2282.82256318506,2397.48653338231,2362.85310598862,2443.84413515149,2759.51327028767,2716.59821526407,2877.65265331343,2929.07502855568,3000.60352326565,2967.37655805218,3074.70207056563
Bolivia,162.106808336641,170.011122690873,169.71805587967,177.311860448186,184.875470379361,194.685523767937,210.853374502253,221.649788958778,231.000395695122,246.509467776645,258.571138616986,257.214095933347,246.380268665593,244.56463496209,237.09485203496,227.384830656566,225.927330361601,237.651806153727,249.383412822797,257.461957776239,271.501669245265,280.887518005133,303.002628806272,322.990614945536,341.772608736295,360.103622727558,378.734860897272,395.804090490469,409.1691815621,407.440958883959,408.754363667214,422.33188545065,429.925746722727,439.982339944353,469.213815190328,499.126920860561,530.215158819469,519.300815244591,537.541498293209,586.30946849687,617.915351368177,642.591741276973,682.934157682116,728.222906191974
Brazil,453.909941416448,492.458109883044,547.098425935436,596.652236998011,642.600451341008,712.377486491983,779.718175249008,848.922338610597,929.330317319931,1003.39866297848,1008.50808105518,1043.03206115609,1098.77759799269,1195.0367011723,1268.89870523554,1339.61977639394,1352.9869780259,1403.73440938514,1433.52101526903,1444.2514290331,1469.85930187699,1478.33118741733,1522.14509040044,1551.69752515075,1619.45062422527,1672.631979251,1748.42336136535,1795.07923196638,1820.04593204693,1885.66546497112,1737.97615659531,1797.26816236679,1873.81236868275,1948.58174018788,2008.56721006521,2065.19220177374,2160.23263259907,2222.41579209327,2189.997777527,2366.38012019669,2422.57622111654,2492.83786417253,2560.09555974195,2610.99928167575
Chile,758.084279261062,784.563805686412,754.765158410461,797.212344464101,727.945620911298,765.303123989749,790.43845678628,830.419219396955,872.585914195188,898.792902561398,914.706478038065,882.581511539196,901.263998961968,961.329654410304,982.60675707644,1022.49374365836,1048.62947407901,1115.3867560421,1202.33514278996,1231.29450130212,1307.48207576421,1450.48390700041,1508.95967577976,1583.73909640035,1741.02484352279,1922.82389846439,2066.13565310259,2174.20557078331,2390.81574627992,2497.75286922399,2627.35492152849,2726.23757549961,2896.06378970021,3063.87215455445,3097.06564529115,3226.34656855168,3346.48072709117,3347.66540895391,3306.86875955947,3318.30524785638,3596.10664594956,3820.37105668158,3893.50611153389,3895.43615609742
Colombia,426.387474981212,411.680398099283,444.8499079179,485.547324465231,467.190466340602,483.084474295615,528.02483529037,584.755608070643,624.723336110186,654.908018525993,651.086825937537,676.11271060515,679.972052250011,736.483545349317,771.288258373212,825.865039640554,800.312439466814,819.183659248775,865.736262533511,884.992859047465,883.909741064036,789.798438311704,884.825494113995,922.243231218881,932.024071881255,922.130149034303,928.377403528365,904.164707880322,836.61973283786,854.542512731373,874.996470067743,882.359121027437,885.510184731059,921.55092739991,918.406837933973,970.66110302058,998.416360820164,998.372418336941,1076.09534945873,1104.49126907673,1148.56024199573,1177.56998281677,1317.96557501601,1320.34513000325
Costa Rica,602.470970660503,647.900561837685,671.402873125792,713.232454020071,724.956791438786,759.846166905954,790.787327633075,842.00489018944,850.055634587602,922.005232980285,953.11634789996,923.639043743482,908.28253001298,978.043171871523,994.781456580874,1062.90747859174,1129.38714591251,1127.11776031739,1062.68234404601,1058.81321097455,1108.84252522215,1390.45298544013,1319.9732657695,1256.46575442973,1271.53179417251,1241.71483553843,1352.34839832156,1307.36707627869,1429.47585885175,1500.55551464832,1478.82351373796,1550.22663969031,1633.95493970553,1668.54778028593,1709.03455071924,1809.20256216521,1870.48749115713,1872.75609678624,1827.91318321844,1869.65141666876,1866.48250421054,1922.90112323351,1919.84405832369,1922.88319769593
Cuba,497.024665873894,506.909532462113,540.228119739417,565.806925557507,618.226975065441,667.231754815349,718.735274042636,787.05149216042,863.86185739916,843.50186005719,967.958767576174,1010.0037602658,1050.91936164436,1112.60807791813,997.729441314867,1068.14726813007,1087.06282905535,1144.31697944824,1182.65211779747,1208.93825729202,1044.9128657475,900.521785190084,836.18256508157,894.444277581936,916.104336321761,972.358830327124,1039.44952818793,1045.88119478422,1081.92396559596,1140.0358605704,1160.50387072524,1188.26673217517,1196.60151240931,1177.96469295147,1156.66620487752,1227.28479667656,1300.27923083878,1318.7475064534,1328.08245189634,1295.70059281247,1325.19553117126,1372.85364510062,1430.63083338464,1447.66699264545
Dominican Republic,329.794008097236,310.700916292559,402.994486087208,367.373681903803,405.761102667546,384.503863948666,424.970839172023,412.887550648783,475.482521440262,444.942492789881,446.88036723711,331.00697442169,369.273034788285,448.098280448716,480.227018675253,488.074668253405,481.418616048483,382.926651182793,336.388094440241,391.499289381799,400.912178250116,543.263133234778,510.818664126037,528.357699586765,498.490867502449,634.772925774002,638.030860080323,1092.23163231277,1270.42264438604,1316.97403671393,1277.76547345496,1379.29058461068,1354.61888829546,1119.96657793261,1225.56293841808,1320.85072135705,1349.89597122207,1368.48379304392,1315.91207808491,1383.32026528897,1415.0214207021,1484.41582704293,1535.09123858884,1597.14222219845
Ecuador,142.183587195856,147.085157867831,160.703691706038,171.607421832892,193.082088315072,219.732107543054,247.779806345428,286.669368697261,321.363611692788,353.128654737154,377.247712748674,396.028885961995,400.642437652294,403.525265879484,389.440121474197,409.26877873522,442.268856707768,442.13578062041,436.32901852415,470.62935048652,498.770432626736,513.000376939373,509.394332743277,543.107948675197,547.065682392434,608.396224580413,652.744890279632,686.492684692967,636.317332372117,637.626859114718,650.34341542083,692.316631918222,719.48482180233,827.583068068615,797.74803391602,865.582639692982,955.806743482506,1080.30760174127,1107.32273713087,1139.59125619555,1212.51672165299,1276.23025826274,1328.05537165993,1375.86215410283
Guatemala,123.444355131161,142.738364770424,151.063435377111,127.954890479289,169.788674263609,203.030853512681,214.887191241959,220.057577668972,226.914871360843,266.169507307761,223.724846157349,194.969940757227,167.770283353556,172.232541832885,180.745034838764,150.155689364523,171.138222797964,168.099971854928,191.68759464433,205.190762769313,210.609785244709,260.895395091499,246.766828532496,269.986954947645,299.121610967702,261.935578652706,242.761598099878,317.122199776122,365.570814735784,332.189766467143,359.5987555137,364.848193680388,453.874217157589,486.906435428558,486.164507257019,540.439086891798,552.496149555944,540.857288279409,549.921108213531,556.043060412196,550.28693631484,550.265993466894,578.902618927796,601.189731088787
Honduras,123.452441690517,123.81508791717,139.822727101156,144.745530025292,151.935663446724,158.329669960603,176.68655746585,176.883072402635,200.396643383525,205.135535033179,218.443960268355,215.407380180579,225.483012163032,232.28972676393,275.77134498699,272.83389376486,319.002405002612,330.674404168674,324.807740681315,360.75907033001,345.014236407295,322.370973964474,335.465406403423,298.959796806402,347.507032716583,394.542001656474,407.381896684175,437.026841564058,439.221813191012,482.369333268236,489.188066268092,509.97819344641,533.055183777682,531.597404829505,565.395744633599,575.582296131798,625.657615621098,646.277970869847,614.813860844995,608.098537759085,653.058554684347,625.656322125771,631.53851330321,608.139094371224
Haiti,12.3782551401753,17.1024106775089,20.0376059311314,22.8598599147784,29.4659443932747,26.8078957678375,30.4292382152914,34.4467619767431,35.943785364666,41.2632139687136,48.2622382533097,48.8287563604985,50.0188487695113,50.4907570868435,51.7169134641542,55.0579857843732,53.7770792561985,55.2298366325511,57.6342454136923,59.780536121667,45.7115038023338,40.9393570161731,28.9956084585499,18.9685110693952,30.6792061584966,34.3603120122235,42.7027991305811,37.4648178068542,39.7127960841721,36.2430436979866,35.5979420395013,30.9413585057448,29.0504859998786,28.5666812736142,37.6430821233771,37.9871637920168,25.6877687795104,23.9158321451133,36.174400897454,24.7894925062583,31.7450367237836,46.7921229764262,44.4392208869016,39.5669151443328
Mexico,519.040592858929,563.038203226255,593.935674495873,638.623900447232,666.122786793581,703.890984370997,744.621502138406,799.263963536147,842.391192312384,887.790190842988,928.997524315049,986.529488612579,1008.62496290596,1050.62407832264,1093.42602627743,1115.39138436903,1165.73714064551,1204.38044331863,1265.27803156749,1217.27213665597,1328.99676364921,1349.90856441113,1342.51684857087,1430.35524978343,1446.63353516898,1468.97107331966,1551.60119495496,1665.39541219731,1709.35096046798,1819.34952282561,1850.83070367182,1857.99072012398,2013.74916587621,1937.62494310377,2007.04835991881,2033.684424427,2063.93226158251,2067.79465417394,2020.71279466653,2046.82382987634,2246.91125042215,2283.07135491459,2172.17588786206,2186.37582152033
Nicaragua,220.948009507892,239.706635955534,218.060070517272,256.751832922807,264.920501102202,299.241311314782,329.748443403057,318.99823048677,245.775844341136,255.501377558079,263.416664238524,272.630477452715,288.73433930051,291.468147647803,284.345025848823,279.593781647381,293.038397163693,288.598070409499,317.47592353165,302.283446315122,295.103932277229,297.706978631054,287.406534886757,274.795362855277,286.747217080138,306.500448529639,344.978167722707,337.115784496775,324.958345528347,341.191539230586,340.473782363304,349.685853182141,365.20333597467,390.997550602714,411.20667434448,423.522612255645,457.070259884479,470.133676902477,475.337306665692,503.779714037557,524.858591921688,564.785601184093,581.104716671414,562.277690122661
Panama,526.595307978079,572.802727489414,632.826828942414,620.461874421829,638.662359730609,680.70534789327,720.732184915525,702.078333948299,804.471564702424,781.81408461068,796.768196368414,846.239501874652,913.986616148018,867.489268137999,901.657438446291,926.585252964005,972.039816631414,877.835235309676,838.428457370853,840.419140168361,885.276198180368,918.030271118415,966.826832915372,1020.89701414865,1072.13850026527,1094.31138480722,1184.23248722061,1191.95460105221,1231.00655087118,1278.59558368155,1301.19855316391,1336.11450212913,1371.31915685402,1435.5700085499,1465.87825043226,1488.1672447057,1582.05439189839,1636.49451431017,1648.61886027843,1754.32447744891,1833.45017748925,1963.58747671685,2025.87637077672,2070.82248913738
Peru,388.514407163674,406.578668144558,410.295619322532,426.906109545781,435.77381130858,444.372470945351,472.861818029188,466.629163240873,476.986444545856,499.016544665154,525.252025055955,549.297684840603,513.679730487845,549.061203342631,541.510669426296,563.625974636237,587.76974519335,550.421426159036,547.161941945804,539.370690773061,571.27027287687,469.513757130569,515.057445639984,525.366486905157,537.198677004081,577.702026682615,593.880179864008,626.766533068538,637.888448295782,661.315738065243,686.361741955155,720.956953195747,745.999551611081,784.974183075296,821.323079075493,874.13874835903,957.714313446178,1033.52804267556,1040.35509132477,1099.70819962742,1253.55688114424,1227.98335129941,1289.83143106639,1334.19204636655
Paraguay,84.0173441021651,91.6118449753084,107.620124188978,115.932965822055,119.720156896028,134.046137746242,161.967164838401,193.204006332988,221.376501751175,249.763552839445,274.080951563542,270.937036201001,276.67473460163,303.674460977832,305.473231776683,349.007309351663,400.369077706904,448.960406946453,464.911694617046,524.734584073936,545.346012808074,580.072578045013,650.220851661643,727.20380681961,812.786155788647,823.702074960921,861.924222478145,869.309299233119,888.97183483349,918.455550440014,906.641624809246,921.968965548551,879.465087963321,872.178252261128,914.024376661302,978.738588986707,1050.24109392511,1107.14546367961,1174.38195453492,1268.76252575792,1381.26013977901,1473.32864902499,1585.83947255019,1682.06686860226
El Salvador,172.329632336482,184.828818762179,207.420940364809,219.876813764088,213.895820470762,244.306905149884,264.289300230061,286.896051601717,294.831471218065,278.554497324457,266.202230603233,263.048967978462,282.74850309616,291.496478935825,299.994443028431,302.970072350702,319.111146195137,326.277840957443,325.186284879502,345.991814321825,362.749424563318,375.526412384555,426.745790746809,462.670370371671,494.937976182088,506.629130916279,546.670870247309,562.099124175479,580.872040692441,607.705116840162,620.230640963445,661.756449338951,689.912755405022,688.740492953954,757.22732239152,823.109235063559,891.112386544898,864.685958485516,855.333967692345,866.858116915935,891.101353369346,927.078733037843,971.443222869995,949.991996168468
Uruguay,735.343390749287,695.83132169668,701.488459809823,695.615484786171,751.058428306651,792.433590882898,831.463771518293,902.988543461023,919.839944449148,990.943715615743,1026.2717475884,1029.1415563064,1031.97657423199,1035.81644508195,1067.05270585652,1102.52350630753,1156.01380547256,1249.61010605115,1202.75452090117,1241.57366092912,1343.38040693072,1366.31774672039,1457.55635616586,1491.87525176766,1586.19829816414,1646.6080896092,1745.41743180191,1823.03950460403,1932.31823597888,2048.15954199957,2016.09299656855,2010.62108774964,1893.23793532842,1934.93815711927,2004.42178459851,2226.78267528163,2421.40134246576,2597.62371085505,2674.51638021671,2821.3494336273,2828.383909387,2953.30976262283,3008.71293453765,3093.17378913347
Venezuela,1054.44590375573,1112.78575242913,1164.52541223185,1219.65705497405,1231.14173862683,1293.07497977313,1400.3329693346,1541.71454882742,1833.58405704207,2015.58889507689,2247.86049440014,2069.17097642844,2221.37476895255,2344.92132887448,2325.6690608324,2323.9066939173,2437.16737534751,2599.46800051274,2482.76394463959,2462.86450640257,2533.14831930484,2670.76177675463,2677.91102441421,2645.27710185648,2630.44500351604,2650.88199552457,2676.84586923069,2645.6977055516,2577.59014910527,2641.91566886959,2706.73032691896,2733.45679505082,2640.90929383409,2772.15092717496,2860.91023644309,2971.4323413025,2988.72697887313,3091.91366612666,3058.57562574723,3165.06809571659,3233.31337308131,3292.11393143757,3292.71167146105,2705.6040126574
